Date,Day,Holiday
01-01-2018,monday,New year's Day
06-01-2018,saturday,La Befana
19-03-2018,monday,Father's day
25-03-2018,sunday,Palm Sunday
01-04-2018,sunday,Easter
02-04-2018,monday,Easter Monday
25-04-2018,wednesday,liberation
01-05-2018,tuesday,Labour day
09-05-2018,wednesday,Europe day
13-05-2018,sunday,mother's day
20-05-2018,sunday,Whitsun
02-06-2018,saturday,republic day
24-06-2018,sunday,St. John's Day
15-07-2018,sunday,Bernhard II of Baden
15-08-2018,wednesday,Ferragosto
21-09-2018,friday,Matthew the Apostle
28-10-2018,sunday,DST end
01-11-2018,thursday,All Saint's Day
02-12-2018,sunday,first advent
08-12-2018,saturday,Immaculate Conception
09-12-2018,sunday,second advent
16-12-2018,sunday,third advent
25-12-2018,tuesday,christmas
26-12-2018,wednesday,St. Stephen's Day
31-12-2018,monday,New year's Eve
